Mean latency: 16.572661, p99: 57.793150, thruput: 82.564841
Mean latency: 18.155746, p99: 63.924920, thruput: 81.768910
Mean latency: 17.143395, p99: 62.601200, thruput: 80.946164
Mean latency: 15.995942, p99: 62.418020, thruput: 81.611299
Mean latency: 17.605006, p99: 59.742440, thruput: 82.225898
Mean latency: 17.724859, p99: 63.277710, thruput: 79.834220
Mean latency: 17.525894, p99: 58.360060, thruput: 81.965572
Mean latency: 17.479510, p99: 63.696760, thruput: 82.211883
Mean latency: 18.111015, p99: 62.517840, thruput: 81.631068
Mean latency: 17.261412, p99: 62.739150, thruput: 80.658531
Mean latency: 17.579167, p99: 67.744400, thruput: 81.990124
Mean latency: 16.888813, p99: 62.829850, thruput: 81.922928
Mean latency: 17.040508, p99: 64.209270, thruput: 81.513970
Mean latency: 16.471365, p99: 63.078840, thruput: 82.035731
Mean latency: 16.987773, p99: 67.223990, thruput: 81.482207
Mean latency: 17.359795, p99: 62.314650, thruput: 80.606194
Mean latency: 17.246367, p99: 58.256040, thruput: 81.841892
Mean latency: 17.022164, p99: 64.496860, thruput: 81.461125
Mean latency: 16.977792, p99: 63.784160, thruput: 80.398533
Mean latency: 17.797032, p99: 61.555000, thruput: 81.676268
Mean latency: 17.313598, p99: 59.534760, thruput: 81.132620
Mean latency: 17.807181, p99: 65.517790, thruput: 81.639201
Mean latency: 17.647690, p99: 66.435720, thruput: 81.124347
Mean latency: 17.422125, p99: 61.907340, thruput: 81.541882
Mean latency: 16.782571, p99: 63.826850, thruput: 81.616945
Mean latency: 16.752650, p99: 61.336300, thruput: 81.352762
Mean latency: 17.770691, p99: 60.754340, thruput: 81.173281
Mean latency: 16.915249, p99: 60.745480, thruput: 82.025068
Mean latency: 17.563820, p99: 62.982300, thruput: 81.240381
Mean latency: 17.088597, p99: 57.349760, thruput: 81.459308
Mean latency: 17.651965, p99: 61.491810, thruput: 81.156498
Mean latency: 17.152518, p99: 57.730160, thruput: 81.252344
Mean latency: 17.393821, p99: 67.565040, thruput: 81.874026
Mean latency: 17.529419, p99: 62.894530, thruput: 82.029723
Mean latency: 18.303730, p99: 62.134480, thruput: 81.063962
Mean latency: 17.301978, p99: 61.453080, thruput: 80.874919
Mean latency: 17.367322, p99: 60.202200, thruput: 81.026044
Mean latency: 17.291129, p99: 58.664620, thruput: 80.905376
Mean latency: 17.829996, p99: 62.943120, thruput: 81.086150
Mean latency: 17.815452, p99: 63.574570, thruput: 80.424000
Mean latency: 17.768004, p99: 59.785560, thruput: 81.043752
Mean latency: 18.330835, p99: 63.779960, thruput: 81.841932
Mean latency: 17.673626, p99: 69.866950, thruput: 81.201362
Mean latency: 17.956834, p99: 65.880120, thruput: 81.433368
Mean latency: 16.831380, p99: 61.742350, thruput: 81.576431
Mean latency: 16.899598, p99: 65.130450, thruput: 80.718577
Mean latency: 17.515772, p99: 61.831400, thruput: 80.756183
Mean latency: 16.935297, p99: 61.751750, thruput: 81.185950
Mean latency: 17.894820, p99: 61.196770, thruput: 81.277021
Mean latency: 17.097323, p99: 64.864800, thruput: 80.492886
