Mean latency: 11.711649, p99: 43.267990, thruput: 103.238875
Mean latency: 11.241853, p99: 39.375600, thruput: 105.509447
Mean latency: 11.309409, p99: 41.154200, thruput: 106.399613
Mean latency: 11.278305, p99: 45.836920, thruput: 107.108889
Mean latency: 11.5326682, p99: 48.125480, thruput: 106.630052
Mean latency: 11.7125865, p99: 43.864120, thruput: 106.957067
Mean latency: 11.515273, p99: 41.759250, thruput: 106.908828
Mean latency: 11.545301, p99: 37.606600, thruput: 106.455836
Mean latency: 11.697200, p99: 45.427850, thruput: 106.293118
Mean latency: 12.1246171, p99: 42.489160, thruput: 105.503591
Mean latency: 11.344308, p99: 41.624400, thruput: 105.797163
Mean latency: 11.529891, p99: 42.839250, thruput: 105.700611
Mean latency: 11.593337, p99: 40.461800, thruput: 106.547188
Mean latency: 11.4175232, p99: 41.257320, thruput: 105.324748
Mean latency: 11.793837, p99: 42.847400, thruput: 105.758013
Mean latency: 11.502017, p99: 42.923960, thruput: 106.465770
Mean latency: 11.228251, p99: 41.371760, thruput: 105.734372
Mean latency: 11.265316, p99: 42.032000, thruput: 106.667136
Mean latency: 11.772761, p99: 41.962750, thruput: 105.468393
Mean latency: 11.111585, p99: 39.355200, thruput: 106.283475
Mean latency: 12.0295300, p99: 43.371800, thruput: 104.584388
Mean latency: 11.866939, p99: 43.110490, thruput: 106.275890
Mean latency: 11.785776, p99: 45.846360, thruput: 105.918239
Mean latency: 11.221064, p99: 41.119400, thruput: 106.036374
Mean latency: 11.252722, p99: 38.581500, thruput: 106.076482
Mean latency: 11.760888, p99: 42.945100, thruput: 106.444000
Mean latency: 11.539625, p99: 41.627320, thruput: 106.843523
Mean latency: 11.561020, p99: 44.301680, thruput: 106.806340
Mean latency: 11.077706, p99: 39.231430, thruput: 106.682268
Mean latency: 11.165666, p99: 37.633080, thruput: 105.371298
Mean latency: 11.434632, p99: 40.168020, thruput: 105.857728
Mean latency: 11.667872, p99: 44.782330, thruput: 105.960569
Mean latency: 11.754403, p99: 39.276700, thruput: 105.907522
Mean latency: 12.0401952, p99: 44.051150, thruput: 106.023724
Mean latency: 11.511792, p99: 40.155100, thruput: 106.341407
Mean latency: 11.477087, p99: 42.419320, thruput: 106.011333
Mean latency: 11.410819, p99: 46.644570, thruput: 106.328137
Mean latency: 11.813995, p99: 39.169270, thruput: 105.884375
Mean latency: 12.1234766, p99: 50.085480, thruput: 105.786629
Mean latency: 11.404983, p99: 38.379700, thruput: 105.518680
