Mean latency: 22.511113, p99: 86.871360, thruput: 66.423257
Mean latency: 22.318374, p99: 85.893360, thruput: 68.564375
Mean latency: 22.908679, p99: 84.439600, thruput: 68.512227
Mean latency: 22.036076, p99: 81.565840, thruput: 67.082529
Mean latency: 21.359759, p99: 79.169450, thruput: 68.565804
Mean latency: 22.650374, p99: 80.845410, thruput: 66.231978
Mean latency: 21.840699, p99: 82.918830, thruput: 67.265785
Mean latency: 22.019620, p99: 84.148890, thruput: 66.633612
Mean latency: 21.213841, p99: 82.524240, thruput: 67.661680
Mean latency: 22.638324, p99: 83.116070, thruput: 67.930438
Mean latency: 22.216203, p99: 85.584280, thruput: 67.372103
Mean latency: 21.754919, p99: 75.182960, thruput: 66.759146
Mean latency: 23.007281, p99: 82.455510, thruput: 68.214183
Mean latency: 21.723135, p99: 83.634760, thruput: 67.864585
Mean latency: 22.902485, p99: 78.769790, thruput: 68.423699
Mean latency: 22.159795, p99: 86.646660, thruput: 67.118346
Mean latency: 21.731063, p99: 79.002400, thruput: 68.399364
Mean latency: 21.724823, p99: 81.355720, thruput: 68.363103
Mean latency: 24.142903, p99: 81.550600, thruput: 67.453103
Mean latency: 21.771013, p99: 78.116440, thruput: 68.124105
Mean latency: 21.816179, p99: 79.613080, thruput: 68.452321
Mean latency: 22.629113, p99: 82.262100, thruput: 67.557596
Mean latency: 21.864521, p99: 80.622200, thruput: 67.383705
Mean latency: 22.048856, p99: 80.027220, thruput: 68.165028
Mean latency: 21.587657, p99: 75.595110, thruput: 67.672601
Mean latency: 22.904790, p99: 89.557410, thruput: 65.698548
Mean latency: 22.096135, p99: 78.808480, thruput: 67.954717
Mean latency: 21.704604, p99: 86.144070, thruput: 67.947439
Mean latency: 22.309536, p99: 80.599150, thruput: 68.164177
Mean latency: 22.697205, p99: 83.372600, thruput: 67.999533
Mean latency: 23.232619, p99: 80.728090, thruput: 66.729097
Mean latency: 21.966244, p99: 76.257910, thruput: 68.418118
Mean latency: 21.974127, p99: 82.531080, thruput: 68.240250
Mean latency: 22.268000, p99: 80.170780, thruput: 67.762870
Mean latency: 22.192139, p99: 78.110380, thruput: 66.494172
Mean latency: 21.964144, p99: 76.584730, thruput: 67.956709
Mean latency: 22.731266, p99: 80.185070, thruput: 68.314940
Mean latency: 23.030287, p99: 84.173400, thruput: 68.293990
Mean latency: 22.603492, p99: 85.709090, thruput: 67.458011
Mean latency: 23.158819, p99: 78.797760, thruput: 67.913740
Mean latency: 22.453647, p99: 80.289470, thruput: 68.030732
Mean latency: 22.545140, p99: 76.647650, thruput: 68.091671
Mean latency: 21.707898, p99: 79.337800, thruput: 67.836297
Mean latency: 22.403221, p99: 80.306100, thruput: 67.711330
Mean latency: 22.101045, p99: 82.790990, thruput: 68.432578
Mean latency: 22.751359, p99: 79.909020, thruput: 67.818950
Mean latency: 22.951121, p99: 78.766500, thruput: 68.122779
Mean latency: 21.867746, p99: 81.453650, thruput: 68.057421
Mean latency: 21.474048, p99: 79.158380, thruput: 68.336131
Mean latency: 21.520845, p99: 81.798880, thruput: 68.239757
Mean latency: 22.035988, p99: 76.639760, thruput: 68.208988
Mean latency: 22.443589, p99: 83.669100, thruput: 68.185863
Mean latency: 21.926716, p99: 80.796000, thruput: 68.424563
Mean latency: 21.967947, p99: 82.266210, thruput: 67.807704
Mean latency: 22.802918, p99: 80.405600, thruput: 67.889948
Mean latency: 22.716969, p99: 84.990360, thruput: 67.962805
Mean latency: 22.172481, p99: 81.259190, thruput: 68.624276
Mean latency: 22.470420, p99: 82.882350, thruput: 67.939663
Mean latency: 21.626176, p99: 80.435950, thruput: 68.446557
Mean latency: 22.425804, p99: 85.492130, thruput: 68.487248
