Mean latency: 26.624581, p99: 95.996000, thruput: 57.833787
Mean latency: 27.944736, p99: 101.347300, thruput: 56.524871
Mean latency: 26.051320, p99: 92.027120, thruput: 58.401859
Mean latency: 26.762147, p99: 107.941500, thruput: 58.110019
Mean latency: 28.102153, p99: 100.771710, thruput: 56.971951
Mean latency: 26.322595, p99: 91.683530, thruput: 58.437745
Mean latency: 27.539602, p99: 100.328700, thruput: 56.451973
Mean latency: 27.237954, p99: 101.875400, thruput: 58.083675
Mean latency: 27.883342, p99: 104.058390, thruput: 56.651433
Mean latency: 25.941595, p99: 101.787480, thruput: 58.312920
Mean latency: 27.900736, p99: 97.741400, thruput: 57.870765
Mean latency: 25.960556, p99: 98.862360, thruput: 58.038506
Mean latency: 25.665238, p99: 97.611440, thruput: 58.325583
Mean latency: 25.936523, p99: 93.685560, thruput: 58.078171
Mean latency: 27.221414, p99: 101.773000, thruput: 58.791134
Mean latency: 27.682690, p99: 103.823440, thruput: 57.726911
Mean latency: 26.986649, p99: 93.809860, thruput: 58.738625
Mean latency: 26.554601, p99: 103.638970, thruput: 58.511936
Mean latency: 28.061558, p99: 113.344560, thruput: 57.740968
Mean latency: 27.726913, p99: 106.047200, thruput: 57.900211
Mean latency: 26.311379, p99: 98.545360, thruput: 58.769237
Mean latency: 27.473466, p99: 99.430520, thruput: 58.283093
Mean latency: 27.321881, p99: 100.140140, thruput: 58.049458
Mean latency: 26.531873, p99: 101.492120, thruput: 58.738438
Mean latency: 28.325916, p99: 105.164740, thruput: 57.919217
Mean latency: 27.723821, p99: 104.162800, thruput: 58.145012
Mean latency: 27.884746, p99: 99.375560, thruput: 57.497057
Mean latency: 26.591252, p99: 90.590860, thruput: 58.248944
Mean latency: 28.430269, p99: 108.786400, thruput: 58.211340
Mean latency: 27.483007, p99: 106.386990, thruput: 58.541474
Mean latency: 26.853294, p99: 108.386660, thruput: 57.526568
Mean latency: 27.069704, p99: 99.240880, thruput: 58.034442
Mean latency: 27.941205, p99: 103.183240, thruput: 57.789433
Mean latency: 26.779160, p99: 99.246920, thruput: 58.236224
Mean latency: 26.911727, p99: 99.949960, thruput: 57.560305
Mean latency: 27.456388, p99: 105.399600, thruput: 57.063362
Mean latency: 27.771736, p99: 100.282440, thruput: 58.179969
Mean latency: 27.484802, p99: 104.240880, thruput: 57.571568
Mean latency: 28.047814, p99: 100.847220, thruput: 58.549056
Mean latency: 27.300925, p99: 105.263550, thruput: 58.017003
Mean latency: 27.400396, p99: 95.231480, thruput: 57.930640
Mean latency: 26.776621, p99: 92.259500, thruput: 58.339136
Mean latency: 27.863700, p99: 105.152840, thruput: 58.012049
Mean latency: 27.298943, p99: 96.848100, thruput: 58.293941
Mean latency: 27.209439, p99: 93.455640, thruput: 58.782643
Mean latency: 26.264068, p99: 93.045280, thruput: 58.546304
Mean latency: 26.750546, p99: 100.044450, thruput: 58.263325
Mean latency: 27.921559, p99: 99.794100, thruput: 58.178278
Mean latency: 27.563625, p99: 103.583010, thruput: 58.323970
Mean latency: 27.579077, p99: 98.560300, thruput: 58.376361
Mean latency: 27.033988, p99: 103.467960, thruput: 57.734822
Mean latency: 27.629643, p99: 105.035000, thruput: 58.290177
Mean latency: 28.327168, p99: 99.745840, thruput: 58.351429
Mean latency: 27.139811, p99: 103.658060, thruput: 58.432482
Mean latency: 27.672684, p99: 103.679620, thruput: 58.512075
Mean latency: 27.513521, p99: 99.688500, thruput: 58.086666
Mean latency: 27.662969, p99: 102.856400, thruput: 58.118466
Mean latency: 27.709262, p99: 97.361970, thruput: 58.510947
Mean latency: 25.870377, p99: 103.773410, thruput: 58.194299
Mean latency: 27.235381, p99: 95.647440, thruput: 58.263230
Mean latency: 26.770051, p99: 99.507000, thruput: 58.351225
Mean latency: 26.768075, p99: 97.570480, thruput: 58.138017
Mean latency: 27.600619, p99: 104.574250, thruput: 58.589131
Mean latency: 28.266147, p99: 105.732400, thruput: 58.264906
Mean latency: 28.167322, p99: 109.235510, thruput: 58.640246
Mean latency: 26.649364, p99: 105.508320, thruput: 58.361858
Mean latency: 27.910691, p99: 99.046180, thruput: 57.428476
Mean latency: 26.920767, p99: 96.099900, thruput: 58.411729
Mean latency: 27.665836, p99: 103.767660, thruput: 58.408121
Mean latency: 29.193195, p99: 97.158320, thruput: 58.282751
