0.875,0.875,0.938,0.906,0.906,0.906,0.969,0.969
0.846,0.769,0.769,0.769,0.769,0.769,0.692,0.692
0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.767
0.808,0.769,0.769,0.769,0.808,0.808,0.808,0.808
0.702,0.632,0.632,0.632,0.632,0.632,0.632,0.632
0.600,0.600,0.600,0.600,0.600,0.600,0.550,0.550
0.522,0.565,0.565,0.609,0.652,0.652,0.652,0.652
0.781,0.719,0.719,0.719,0.625,0.625,0.625,0.625
0.742,0.677,0.677,0.677,0.677,0.710,0.710,0.710
0.733,0.733,0.644,0.644,0.644,0.733,0.733,0.733
0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744
0.731,0.731,0.808,0.692,0.692,0.808,0.808,0.692
0.750,0.750,0.750,0.825,0.825,0.825,0.650,0.650
0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878
0.683,0.841,0.841,0.698,0.698,0.746,0.810,0.810
0.564,0.692,0.692,0.692,0.692,0.692,0.692,0.692
0.871,0.871,0.871,0.871,0.935,0.935,0.935,0.935
0.700,0.700,0.650,0.650,0.650,0.650,0.650,0.650
0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
0.754,0.825,0.789,0.860,0.825,0.825,0.825,0.825
0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704
0.786,0.786,0.786,0.810,0.810,0.810,0.810,0.810
0.727,0.659,0.659,0.659,0.591,0.591,0.659,0.659
0.825,0.825,0.825,0.825,0.825,0.650,0.650,0.650
0.833,0.976,0.976,0.929,0.905,0.905,0.905,0.905
0.848,0.909,0.909,0.909,0.909,0.909,0.909,0.909
0.564,0.718,0.718,0.718,0.718,0.718,0.718,0.718
0.675,0.800,0.800,0.800,0.800,0.800,0.750,0.750
0.600,0.600,0.600,0.600,0.740,0.740,0.740,0.740
0.953,0.860,0.907,0.907,0.907,0.907,0.930,0.930
0.620,0.620,0.620,0.620,0.660,0.660,0.660,0.660
0.656,0.750,0.750,0.672,0.703,0.703,0.703,0.703
0.774,0.774,0.774,0.774,0.774,0.679,0.679,0.679
0.750,0.750,0.705,0.705,0.705,0.705,0.705,0.705
0.732,0.659,0.659,0.659,0.659,0.659,0.659,0.732
0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.647
0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694
0.714,0.800,0.800,0.886,0.886,0.857,0.857,0.857
0.625,0.708,0.625,0.625,0.625,0.750,0.750,0.750
0.688,0.688,0.594,0.594,0.719,0.719,0.719,0.719
0.704,0.667,0.667,0.667,0.667,0.667,0.667,0.667
0.560,0.560,0.560,0.540,0.540,0.540,0.540,0.540
0.706,0.618,0.618,0.618,0.618,0.618,0.618,0.618
0.675,0.775,0.775,0.775,0.775,0.775,0.775,0.775
0.615,0.615,0.615,0.615,0.615,0.462,0.462,0.462
0.875,0.825,0.875,0.925,0.925,0.925,0.950,0.950
0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733
0.677,0.677,0.692,0.692,0.692,0.692,0.692,0.692
0.800,0.875,0.800,0.800,0.800,0.800,0.800,0.850
0.797,0.797,0.797,0.781,0.781,0.781,0.781,0.781
0.564,0.513,0.513,0.513,0.513,0.513,0.564,0.564
0.939,0.848,0.939,0.939,0.939,0.939,0.909,0.909
0.708,0.708,0.708,0.708,0.708,0.750,0.750,0.750
0.760,0.880,0.880,0.880,0.880,0.880,0.880,0.880
0.450,0.500,0.750,0.800,0.800,0.800,0.800,0.750
0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.886
0.744,0.590,0.590,0.590,0.590,0.590,0.590,0.641
0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
0.579,0.579,0.579,0.579,0.579,0.579,0.491,0.491
0.610,0.610,0.610,0.610,0.585,0.585,0.585,0.585
0.536,0.571,0.607,0.607,0.607,0.607,0.607,0.607
0.667,0.718,0.718,0.718,0.667,0.667,0.667,0.667
0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581
0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.810
0.735,0.735,0.735,0.735,0.824,0.824,0.824,0.824
0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537
0.643,0.643,0.625,0.625,0.625,0.625,0.625,0.625
0.653,0.694,0.694,0.694,0.694,0.694,0.694,0.694
0.567,0.567,0.633,0.700,0.700,0.700,0.633,0.633
0.457,0.686,0.686,0.686,0.686,0.686,0.686,0.686
0.605,0.628,0.628,0.628,0.628,0.628,0.628,0.628
0.545,0.568,0.568,0.568,0.545,0.545,0.545,0.545
0.630,0.630,0.630,0.630,0.648,0.648,0.648,0.648
0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545
0.567,0.567,0.567,0.567,0.733,0.733,0.733,0.733
0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636
0.653,0.714,0.714,0.714,0.755,0.755,0.755,0.755
0.853,0.912,0.912,0.882,0.882,0.882,0.941,0.941
0.574,0.638,0.638,0.638,0.638,0.617,0.617,0.617
0.519,0.615,0.615,0.615,0.615,0.615,0.615,0.615
0.511,0.556,0.556,0.556,0.556,0.556,0.556,0.556
0.682,0.636,0.636,0.636,0.636,0.636,0.636,0.636
0.679,0.642,0.642,0.642,0.642,0.642,0.642,0.642
0.656,0.656,0.656,0.656,0.625,0.625,0.625,0.625
0.821,0.821,0.821,0.923,0.923,0.923,0.923,0.923
0.600,0.636,0.636,0.636,0.636,0.636,0.636,0.636
0.925,0.850,0.850,0.850,0.850,0.850,0.925,0.925
0.792,0.792,0.750,0.750,0.750,0.750,0.750,0.750
0.793,0.793,0.793,0.793,0.621,0.621,0.621,0.621
0.610,0.659,0.659,0.610,0.610,0.610,0.610,0.610
0.564,0.538,0.538,0.538,0.538,0.615,0.615,0.615
0.769,0.769,0.923,0.923,0.923,0.923,0.923,0.923
0.710,0.742,0.774,0.774,0.774,0.774,0.774,0.774
0.583,0.611,0.694,0.694,0.694,0.694,0.667,0.667
0.609,0.609,0.547,0.547,0.656,0.656,0.609,0.609
0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
0.579,0.579,0.737,0.737,0.737,0.737,0.737,0.737
0.853,0.882,0.882,0.882,0.882,0.882,0.882,0.882
0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939
0.643,0.643,0.714,0.714,0.714,0.714,0.714,0.714
0.667,0.733,0.733,0.733,0.733,0.733,0.733,0.733
0.241,0.517,0.517,0.517,0.517,0.517,0.517,0.517
0.667,0.778,0.778,0.444,0.778,0.778,0.778,0.778
0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
0.706,0.706,0.765,0.765,0.765,0.765,0.765,0.765
0.561,0.621,0.621,0.621,0.621,0.621,0.621,0.621
0.741,0.593,0.593,0.593,0.593,0.593,0.593,0.593
0.571,0.667,0.667,0.643,0.643,0.643,0.643,0.643
0.333,0.333,0.333,0.333,0.333,0.600,0.600,0.600
0.750,0.806,0.722,0.722,0.722,0.722,0.722,0.750
0.500,0.476,0.738,0.738,0.738,0.738,0.738,0.738
0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649
0.500,0.500,0.500,0.531,0.531,0.531,0.531,0.531
0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871
0.706,0.824,0.735,0.735,0.735,0.735,0.735,0.735
0.500,0.533,0.567,0.567,0.567,0.567,0.567,0.567
0.824,0.794,0.794,0.794,0.794,0.794,0.794,0.794
0.591,0.591,0.591,0.773,0.773,0.773,0.773,0.773
0.571,0.600,0.686,0.686,0.686,0.686,0.686,0.743
0.606,0.727,0.727,0.727,0.727,0.727,0.727,0.727
0.536,0.643,0.643,0.536,0.536,0.536,0.536,0.536
0.440,0.600,0.560,0.560,0.560,0.560,0.640,0.640
0.577,0.577,0.654,0.654,0.577,0.577,0.577,0.577
0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771
0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519
0.759,0.724,0.793,0.759,0.759,0.759,0.759,0.759
0.745,0.745,0.765,0.765,0.765,0.765,0.765,0.765
0.615,0.615,0.615,0.667,0.667,0.667,0.667,0.744
0.879,0.879,0.879,0.848,0.848,0.848,0.848,0.848
0.564,0.564,0.667,0.641,0.564,0.564,0.564,0.564
0.542,0.562,0.562,0.562,0.562,0.562,0.562,0.562
0.514,0.514,0.514,0.514,0.622,0.622,0.622,0.622
0.635,0.673,0.673,0.673,0.673,0.673,0.673,0.673
0.917,0.917,0.917,0.917,0.917,0.917,0.861,0.861
0.652,0.783,0.783,0.783,0.783,0.783,0.783,0.783
0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444
0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758
0.763,0.816,0.737,0.737,0.737,0.737,0.737,0.737
0.586,0.586,0.586,0.586,0.586,0.690,0.690,0.690
0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611
0.655,0.655,0.690,0.690,0.690,0.690,0.690,0.690
0.588,0.529,0.529,0.529,0.529,0.529,0.529,0.529
0.627,0.627,0.647,0.647,0.647,0.647,0.647,0.647
0.630,0.630,0.630,0.630,0.630,0.630,0.630,0.630
0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861
0.512,0.512,0.610,0.610,0.537,0.537,0.561,0.561
0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676
0.814,0.814,0.767,0.767,0.767,0.767,0.767,0.767
0.672,0.750,0.750,0.750,0.750,0.750,0.750,0.750
0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854
0.784,0.784,0.784,0.757,0.730,0.730,0.730,0.730
0.889,0.778,0.778,0.778,0.778,0.778,0.778,0.778
0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694
0.737,0.763,0.763,0.763,0.763,0.763,0.763,0.763
0.879,0.879,0.879,0.879,0.879,0.939,0.939,0.939
0.657,0.657,0.571,0.571,0.571,0.571,0.571,0.571
0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609
0.571,0.571,0.571,0.571,0.571,0.571,0.571,0.571
0.698,0.698,0.721,0.721,0.721,0.721,0.721,0.721
0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844
0.647,0.647,0.647,0.647,0.647,0.706,0.706,0.529
0.675,0.675,0.675,0.675,0.750,0.750,0.650,0.650
0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
0.781,0.906,0.875,0.938,0.938,0.938,0.938,0.875
